Time, X Displacement, Y Displacement, X Velocity, Y Velocity, X Acceleration, Y Acceleration
0, 0, 1.054, 3.449266878627979, 3.449266878627979, 0, -0.134397
0.001, 0.003449266878627979, 1.057449199680128, 3.449266878627979, 3.449132481627979, 0.0, -9.81
0.002, 0.006898533757255958, 1.060893427161756, 3.449266878627979, 3.439322481627979, 0.0, -9.81
0.003, 0.010347800635883937, 1.064327844643384, 3.449266878627979, 3.429512481627979, 0.0, -9.81
0.004, 0.013797067514511915, 1.067752452125012, 3.449266878627979, 3.4197024816279793, 0.0, -9.81
0.005, 0.017246334393139894, 1.0711672496066398, 3.449266878627979, 3.4098924816279794, 0.0, -9.81
0.006, 0.020695601271767873, 1.0745722370882678, 3.449266878627979, 3.4000824816279795, 0.0, -9.81
0.007, 0.024144868150395852, 1.0779674145698956, 3.449266878627979, 3.3902724816279797, 0.0, -9.81
0.008, 0.02759413502902383, 1.0813527820515236, 3.449266878627979, 3.38046248162798, 0.0, -9.81
0.009000000000000001, 0.03104340190765181, 1.0847283395331515, 3.449266878627979, 3.37065248162798, 0.0, -9.81
0.010000000000000002, 0.03449266878627979, 1.0880940870147795, 3.449266878627979, 3.36084248162798, 0.0, -9.81
0.011000000000000003, 0.037941935664907764, 1.0914500244964074, 3.449266878627979, 3.35103248162798, 0.0, -9.81
0.012000000000000004, 0.041391202543535746, 1.0947961519780354, 3.449266878627979, 3.3412224816279803, 0.0, -9.81
0.013000000000000005, 0.04484046942216373, 1.0981324694596633, 3.449266878627979, 3.3314124816279804, 0.0, -9.81
0.014000000000000005, 0.04828973630079171, 1.1014589769412912, 3.449266878627979, 3.3216024816279806, 0.0, -9.81
0.015000000000000006, 0.05173900317941969, 1.1047756744229191, 3.449266878627979, 3.3117924816279807, 0.0, -9.81
0.016000000000000007, 0.055188270058047675, 1.1080825619045471, 3.449266878627979, 3.301982481627981, 0.0, -9.81
0.017000000000000008, 0.05863753693667566, 1.111379639386175, 3.449266878627979, 3.292172481627981, 0.0, -9.81
0.01800000000000001, 0.06208680381530364, 1.114666906867803, 3.449266878627979, 3.282362481627981, 0.0, -9.81
0.01900000000000001, 0.06553607069393162, 1.117944364349431, 3.449266878627979, 3.272552481627981, 0.0, -9.81
0.02000000000000001, 0.0689853375725596, 1.121212011831059, 3.449266878627979, 3.2627424816279813, 0.0, -9.81
0.02100000000000001, 0.07243460445118759, 1.1244698493126868, 3.449266878627979, 3.2529324816279814, 0.0, -9.81
0.022000000000000013, 0.07588387132981557, 1.1277178767943148, 3.449266878627979, 3.2431224816279816, 0.0, -9.81
0.023000000000000013, 0.07933313820844355, 1.1309560942759427, 3.449266878627979, 3.2333124816279817, 0.0, -9.81
0.024000000000000014, 0.08278240508707153, 1.1341845017575707, 3.449266878627979, 3.223502481627982, 0.0, -9.81
0.025000000000000015, 0.08623167196569952, 1.1374030992391986, 3.449266878627979, 3.213692481627982, 0.0, -9.81
0.026000000000000016, 0.0896809388443275, 1.1406118867208266, 3.449266878627979, 3.203882481627982, 0.0, -9.81
0.027000000000000017, 0.09313020572295548, 1.1438108642024545, 3.449266878627979, 3.194072481627982, 0.0, -9.81
0.028000000000000018, 0.09657947260158346, 1.1470000316840825, 3.449266878627979, 3.1842624816279823, 0.0, -9.81
0.02900000000000002, 0.10002873948021145, 1.1501793891657104, 3.449266878627979, 3.1744524816279824, 0.0, -9.81
0.03000000000000002, 0.10347800635883943, 1.1533489366473384, 3.449266878627979, 3.1646424816279826, 0.0, -9.81
0.03100000000000002, 0.10692727323746741, 1.1565086741289663, 3.449266878627979, 3.1548324816279827, 0.0, -9.81
0.03200000000000002, 0.11037654011609539, 1.1596586016105943, 3.449266878627979, 3.145022481627983, 0.0, -9.81
0.03300000000000002, 0.11382580699472337, 1.1627987190922222, 3.449266878627979, 3.135212481627983, 0.0, -9.81
0.03400000000000002, 0.11727507387335136, 1.1659290265738502, 3.449266878627979, 3.125402481627983, 0.0, -9.81
0.035000000000000024, 0.12072434075197934, 1.1690495240554781, 3.449266878627979, 3.115592481627983, 0.0, -9.81
0.036000000000000025, 0.12417360763060732, 1.1721602115371061, 3.449266878627979, 3.1057824816279833, 0.0, -9.81
0.037000000000000026, 0.1276228745092353, 1.175261089018734, 3.449266878627979, 3.0959724816279834, 0.0, -9.81
0.03800000000000003, 0.13107214138786327, 1.178352156500362, 3.449266878627979, 3.0861624816279836, 0.0, -9.81
0.03900000000000003, 0.13452140826649125, 1.18143341398199, 3.449266878627979, 3.0763524816279837, 0.0, -9.81
0.04000000000000003, 0.13797067514511924, 1.184504861463618, 3.449266878627979, 3.066542481627984, 0.0, -9.81
0.04100000000000003, 0.14141994202374722, 1.187566498945246, 3.449266878627979, 3.056732481627984, 0.0, -9.81
0.04200000000000003, 0.1448692089023752, 1.190618326426874, 3.449266878627979, 3.046922481627984, 0.0, -9.81
0.04300000000000003, 0.14831847578100318, 1.1936603439085018, 3.449266878627979, 3.037112481627984, 0.0, -9.81
0.04400000000000003, 0.15176774265963117, 1.1966925513901299, 3.449266878627979, 3.0273024816279843, 0.0, -9.81
0.04500000000000003, 0.15521700953825915, 1.1997149488717578, 3.449266878627979, 3.0174924816279844, 0.0, -9.81
0.046000000000000034, 0.15866627641688713, 1.2027275363533858, 3.449266878627979, 3.0076824816279846, 0.0, -9.81
0.047000000000000035, 0.1621155432955151, 1.2057303138350137, 3.449266878627979, 2.9978724816279847, 0.0, -9.81
0.048000000000000036, 0.1655648101741431, 1.2087232813166418, 3.449266878627979, 2.988062481627985, 0.0, -9.81
